date,name,author,description,image
"August 7, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"August 7, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"August 7, 2022",PORTRAIT OF AN UNKNOWN WOMAN,Daniel Silva,The 22nd book in the Gabriel Allon series. Allon becomes an art forger to uncover a multibillion-dollar fraud.,https://storage.googleapis.com/du-prd/books/images/9780062834850.jpg
"August 7, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"August 7, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"August 7, 2022",SHATTERED,James Patterson and James O. Born,"The 14th book in the Michael Bennett series. When an F.B.I. abduction specialist disappears, Bennett goes outside his jurisdiction.",https://storage.googleapis.com/du-prd/books/images/9780316499484.jpg
"August 7, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"August 7, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"August 7, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"August 7, 2022",THE HOTEL NANTUCKET,Elin Hilderbrand,The new general manager of a hotel far from its Gilded Age heyday deals with the complicated pasts of her guests and staff.,https://storage.googleapis.com/du-prd/books/images/9780316258678.jpg
"August 7, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"August 7, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"August 7, 2022",GRACE UNDER FIRE,Julie Garwood,"The 14th book in the Buchanan, Renard and MacKenna series. Trouble follows Isabel after she acts in self-defense.",https://storage.googleapis.com/du-prd/books/images/9780593546307.jpg
"August 7, 2022",THE IT GIRL,Ruth Ware,"A decade after her first year at Oxford, an expectant mother looks into the mystery of her former best friend’s death.",https://storage.googleapis.com/du-prd/books/images/9781982155261.jpg
"August 7, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
